Hour,EventCategory,Estimated_Attendance
2021-01-01 14:00:00,Cultural & Tourism Event,3.0817438692098094
2021-01-01 14:00:00,Cultural & Tourism Event,1.0272479564032695
2021-01-01 18:00:00,Other,6.909047160731473
2021-01-01 21:00:00,Sports & Competition,0.9537110933758978
2021-01-01 19:00:00,Other,3.962323390894819
2021-01-01 18:00:00,Other,1.9740134744947064
2021-01-01 16:00:00,Other,1.9580524344569288
2021-01-01 03:00:00,Other,3.93717277486911
2021-01-01 12:00:00,Other,8.622377622377623
2021-01-01 03:00:00,Religious Event,4.053191489361702
2021-01-01 13:00:00,Religious Event,6.079787234042554
2021-01-01 17:00:00,Other,9.817007534983851
2021-01-01 19:00:00,Sports & Competition,3.7662337662337664
2021-01-01 12:00:00,Other,1.9580524344569288
2021-01-01 18:00:00,Sports & Competition,3.94979079497908
2021-01-01 14:00:00,Religious Event,4.1053864980482695
2021-01-01 03:00:00,Other,6.975438596491228
2021-01-01 03:00:00,Other,3.985964912280702
2021-01-01 18:00:00,Other,0.9870067372473532
2021-01-01 16:00:00,Other,6.300000000000001
,Other,9.580838323353294
2021-01-01 21:00:00,Sports & Competition,6.675977653631285
2021-01-01 01:00:00,Other,2.010752688172043
2021-01-01 12:00:00,Other,9.874476987447698
2021-01-01 18:00:00,Sports & Competition,2.9623430962343096
2021-01-01 14:00:00,Religious Event,5.953846153846154
2021-01-01 14:00:00,Religious Event,3.969230769230769
2021-01-01 03:00:00,Other,9.964912280701755
2021-01-01 12:00:00,Cultural & Tourism Event,1.0216962524654831
2021-01-01 12:00:00,Other,1.0216962524654831
2021-01-01 13:00:00,Other,3.776447105788423
2021-01-01 13:00:00,Other,0.9441117764471058
2021-01-01 08:00:00,Other,0.9865470852017936
2020-12-03 23:00:00,Sports & Competition,2.0164948453608247
2020-12-03 23:00:00,Sports & Competition,8.065979381443299
2020-12-26 17:00:00,Cultural & Tourism Event,1.015174506828528
2020-12-26 07:00:00,Cultural & Tourism Event,2.030349013657056
2020-12-26 16:00:00,Cultural & Tourism Event,4.060698027314112
2020-12-26 16:00:00,Cultural & Tourism Event,1.015174506828528
2021-01-02 04:00:00,Protest & Demonstration,1.9885714285714284
2021-01-02 15:00:00,Religious Event,1.9863481228668944
2021-01-02 07:00:00,Sports & Competition,9.25531914893617
2021-01-02 13:00:00,Other,9.897209985315712
2021-01-02 03:00:00,Other,5.761904761904763
2021-01-02 21:00:00,Other,10.053763440860216
2021-01-02 11:00:00,Religious Event,10.110806935210531
2021-01-02 10:00:00,Religious Event,1.0
2021-01-02 11:00:00,Other,5.055403467605267
2021-01-02 14:00:00,Religious Event,2.979522184300341
2021-01-02 18:00:00,Religious Event,6.029459901800328
2021-01-02 10:00:00,Cultural & Tourism Event,0.956292785676672
2021-01-02 10:00:00,Cultural & Tourism Event,3.825171142706688
2021-01-02 22:00:00,Religious Event,4.647887323943662
2021-01-02 14:00:00,Religious Event,2.0338028169014084
2021-01-02 14:00:00,Religious Event,7.694704049844238
2021-01-02 18:00:00,Religious Event,2.0407407407407407
2021-01-02 20:00:00,Religious Event,3.061111111111111
2021-01-02 18:00:00,Other,8.93854748603352
2021-01-02 18:00:00,Religious Event,2.030349013657056
2021-01-02 07:00:00,Religious Event,8.121396054628224
2021-01-02 10:00:00,Other,5.117302052785924
2021-01-02 15:00:00,Other,20.571428571428573
2021-01-02 14:00:00,Other,4.945598417408506
2021-01-02 10:00:00,Other,5.125
2021-01-02 08:00:00,Other,9.582366589327146
2021-01-02 15:00:00,Cultural & Tourism Event,8.273764258555133
,Other,9.92818671454219
2021-01-02 07:00:00,Protest & Demonstration,10.026041666666664
2021-01-02 01:00:00,Cultural & Tourism Event,9.942857142857145
2021-01-02 04:00:00,Religious Event,5.973568281938325
2021-01-02 06:00:00,Religious Event,1.9911894273127757
2021-01-02 04:00:00,Protest & Demonstration,7.954285714285714
2021-01-02 13:00:00,Other,9.780380673499268
2021-01-02 06:00:00,Religious Event,4.977973568281938
2021-01-02 15:00:00,Other,0.990521327014218
2021-01-02 22:00:00,Other,0.990521327014218
2021-01-02 11:00:00,Other,10.110806935210531
2021-01-02 07:00:00,Other,4.044322774084213
2021-01-02 07:00:00,Other,2.0221613870421065
2021-01-02 13:00:00,Religious Event,9.827586206896552
2021-01-02 15:00:00,Religious Event,5.937391304347827
2021-01-02 15:00:00,Cultural & Tourism Event,1.9791304347826089
2021-01-02 14:00:00,Other,5.937391304347827
2021-01-02 14:00:00,Other,0.9895652173913044
2021-01-02 01:00:00,Other,0.9895652173913044
2021-01-02 07:00:00,Other,6.066484161126319
2021-01-02 17:00:00,Other,1.981244671781756
2021-01-02 17:00:00,Other,0.990622335890878
2021-01-02 03:00:00,Other,0.990622335890878
2021-01-02 14:00:00,Other,1.9863481228668944
2021-01-02 15:00:00,Religious Event,5.959044368600683
,Other,9.840848806366049
2021-01-02 08:00:00,Other,9.767441860465118
2021-01-02 08:00:00,Other,9.09090909090909
2021-01-02 18:00:00,Other,9.42622950819672
2021-01-02 13:00:00,Sports & Competition,7.748251748251748
2021-01-02 18:00:00,Other,5.363128491620112
,Other,4.73404255319149
,Sports & Competition,4.709302325581396
,Protest & Demonstration,4.746696035242291
2021-01-02 18:00:00,Other,3.575418994413408
2021-01-02 10:00:00,Cultural & Tourism Event,4.781463928383359
2021-01-02 10:00:00,Other,10.25
2021-01-02 14:00:00,Other,8.135211267605634
2021-01-02 03:00:00,Other,3.982082866741321
2021-01-02 13:00:00,Religious Event,5.8370607028754
2021-01-02 15:00:00,Other,9.141414141414142
2021-01-02 07:00:00,Other,2.7376093294460624
2021-01-02 06:00:00,Other,2.0252764612954186
2021-01-02 06:00:00,Other,8.101105845181674
2021-01-02 19:00:00,Cultural & Tourism Event,2.0343642611683848
2021-01-02 18:00:00,Protest & Demonstration,2.0343642611683848
2021-01-02 06:00:00,Other,0.9411764705882352
2021-01-02 06:00:00,Religious Event,0.9411764705882352
2021-01-02 18:00:00,Other,4.779270633397312
2021-01-02 13:00:00,Religious Event,3.891373801916933
2021-01-02 07:00:00,Other,10.241327300150829
2021-01-02 04:00:00,Religious Event,10.0
2021-01-02 08:00:00,Other,5.212121212121213
2021-01-02 08:00:00,Other,3.1272727272727274
2021-01-02 14:00:00,Religious Event,10.13064133016627
2021-01-02 15:00:00,Other,3.874538745387454
2021-01-02 05:00:00,Cultural & Tourism Event,4.046242774566474
2021-01-02 00:00:00,Other,1.891156462585034
2021-01-02 13:00:00,Other,4.534412955465589
2021-01-02 00:00:00,Other,0.945578231292517
2021-01-02 03:00:00,Religious Event,1.9910414333706603
2021-01-02 03:00:00,Cultural & Tourism Event,3.836589698046181
2021-01-02 03:00:00,Sports & Competition,9.453781512605042
2021-01-02 22:00:00,Other,1.0115606936416186
,Other,9.475655430711612
2021-01-02 03:00:00,Other,3.841269841269842
2021-01-02 03:00:00,Other,11.51230188238121
2021-01-02 06:00:00,Other,11.51230188238121
2021-01-02 06:00:00,Religious Event,0.984825493171472
2021-01-02 06:00:00,Other,4.046789941154431
2021-01-02 18:00:00,Other,2.023394970577216
2021-01-02 18:00:00,Other,4.046789941154431
2021-01-02 18:00:00,Other,16.187159764617725
2021-01-02 01:00:00,Other,9.597014925373134
2021-01-02 07:00:00,Other,10.026041666666664
2021-01-02 01:00:00,Religious Event,1.9885714285714284
2021-01-02 10:00:00,Other,4.781463928383359
2021-01-02 12:00:00,Religious Event,3.0
2021-01-02 17:00:00,Religious Event,10.15174506828528
2021-01-02 07:00:00,Religious Event,10.15174506828528
2021-01-02 09:00:00,Other,3.82341650671785
2021-01-02 18:00:00,Other,5.735124760076775
2021-01-02 10:00:00,Religious Event,2.0
2021-01-02 23:00:00,Religious Event,1.0
2021-01-02 17:00:00,Cultural & Tourism Event,3.045523520485584
2021-01-02 23:00:00,Religious Event,3.0
2021-01-02 03:00:00,Other,9.73913043478261
2021-01-02 14:00:00,Religious Event,0.9891196834817012
2021-01-02 21:00:00,Other,9.881305637982196
2021-01-02 17:00:00,Cultural & Tourism Event,10.15174506828528
2021-01-02 17:00:00,Other,2.030349013657056
2021-01-02 07:00:00,Other,2.030349013657056
2021-01-02 07:00:00,Other,6.091047040971168
2021-01-02 17:00:00,Other,3.962489343563512
2021-01-02 17:00:00,Other,10.15174506828528
2021-01-02 17:00:00,Cultural & Tourism Event,2.030349013657056
2021-01-02 17:00:00,Cultural & Tourism Event,1.015174506828528
2021-01-02 17:00:00,Cultural & Tourism Event,4.060698027314112
2021-01-02 15:00:00,Other,4.647887323943662
2021-01-02 07:00:00,Other,8.121396054628224
2021-01-02 08:00:00,Other,2.030349013657056
2021-01-02 10:00:00,Other,6.015384615384615
2021-01-02 12:00:00,Other,2.005128205128205
2021-01-02 12:00:00,Other,10.025641025641026
2021-01-02 13:00:00,Other,2.905594405594406
2021-01-02 13:00:00,Religious Event,2.905594405594406
2021-01-02 14:00:00,Other,14.83679525222552
2021-01-02 03:00:00,Other,14.390377352976513
2021-01-02 14:00:00,Religious Event,14.83679525222552
2021-01-02 15:00:00,Cultural & Tourism Event,7.945392491467577
2021-01-02 14:00:00,Cultural & Tourism Event,1.9863481228668944
2021-01-02 12:00:00,Other,9.864457831325302
2021-01-02 12:00:00,Other,4.932228915662651
2021-01-02 15:00:00,Religious Event,9.141414141414142
2021-01-02 14:00:00,Other,5.735124760076775
2021-01-02 08:00:00,Other,5.739130434782609
2021-01-02 08:00:00,Other,7.6521739130434785
2021-01-02 12:00:00,Other,1.9728915662650603
2021-01-02 07:00:00,Other,4.010416666666666
2021-01-02 07:00:00,Protest & Demonstration,4.010416666666666
2021-01-02 09:00:00,Other,8.246786632390746
2021-01-02 18:00:00,Cultural & Tourism Event,4.0814814814814815
2021-01-02 20:00:00,Cultural & Tourism Event,6.122222222222222
2021-01-02 10:00:00,Religious Event,6.0
2021-01-02 19:00:00,Religious Event,10.187441424554828
2021-01-02 11:00:00,Religious Event,6.025026068821689
2021-01-02 15:00:00,Religious Event,4.016684045881126
2021-01-02 15:00:00,Other,7.436619718309859
2021-01-02 00:00:00,Other,7.564625850340136
2021-01-02 11:00:00,Other,4.788732394366198
2021-01-02 06:00:00,Other,7.529411764705882
2021-01-02 07:00:00,Religious Event,5.647058823529411
2021-01-02 07:00:00,Religious Event,1.8823529411764703
2021-01-02 06:00:00,Religious Event,1.8823529411764703
2021-01-02 07:00:00,Other,5.647058823529411
2021-01-02 07:00:00,Other,1.8823529411764703
2021-01-02 06:00:00,Other,1.8823529411764703
2021-01-02 10:00:00,Sports & Competition,10.0
2021-01-02 03:00:00,Other,5.749049429657795
2021-01-02 15:00:00,Other,3.832699619771863
2021-01-02 13:00:00,Sports & Competition,1.937062937062937
,Sports & Competition,4.634146341463414
2021-01-02 07:00:00,Other,6.015624999999999
2021-01-02 07:00:00,Protest & Demonstration,6.015624999999999
2021-01-02 20:00:00,Religious Event,6.025026068821689
2021-01-02 16:00:00,Religious Event,0.9737704918032788
2021-01-02 03:00:00,Other,3.816793893129771
2021-01-02 03:00:00,Public Gathering,0.9581749049429658
2021-01-02 12:00:00,Public Gathering,0.9581749049429658
2021-01-02 01:00:00,Other,1.015174506828528
2021-01-02 01:00:00,Other,2.030349013657056
2021-01-02 06:00:00,Sports & Competition,4.761904761904762
2021-01-02 15:00:00,Religious Event,1.8591549295774648
2021-01-02 22:00:00,Religious Event,2.788732394366197
2021-01-02 22:00:00,Religious Event,3.891373801916933
2021-01-02 13:00:00,Other,2.9185303514377
2021-01-02 00:00:00,Religious Event,0.9895652173913044
2021-01-02 00:00:00,Religious Event,9.895652173913044
2021-01-02 08:00:00,Other,12.673346693386774
2021-01-02 09:00:00,Other,1.9299242424242424
2021-01-02 14:00:00,Other,0.930880713489409
2021-01-02 18:00:00,Other,1.861761426978818
2021-01-02 20:00:00,Other,1.967174677608441
2021-01-02 16:00:00,Other,8.096054888507718
2021-01-02 17:00:00,Other,4.95311167945439
2021-01-02 09:00:00,Other,2.0616966580976865
2021-01-02 16:00:00,Other,10.416666666666664
2021-01-02 14:00:00,Other,5.959044368600683
2021-01-02 15:00:00,Other,3.656565656565657
2021-01-02 18:00:00,Protest & Demonstration,8.137457044673539
2021-01-02 03:00:00,Other,0.9955207166853304
2021-01-02 03:00:00,Religious Event,7.964165733482642
2021-01-02 12:00:00,Other,3.007692307692308
2021-01-02 10:00:00,Other,1.0025641025641026
2021-01-02 12:00:00,Other,1.0025641025641026
2021-01-02 14:00:00,Religious Event,1.9782393669634024
2021-01-02 19:00:00,Cultural & Tourism Event,8.137457044673539
2021-01-02 12:00:00,Other,3.9457831325301207
2021-01-02 14:00:00,Other,3.82341650671785
2021-01-02 10:00:00,Religious Event,10.0
2021-01-02 23:00:00,Religious Event,5.0
