GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Name,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,DATEADDED,SOURCEURL
4,"Cheras, Malaysia (general), Malaysia",MY,MY00,18585,3.05,101.767,-2360826,4,"Cheras, Malaysia (general), Malaysia",MY,MY00,18585,3.05,101.767,-2360826,20250307093000,https://www.thestar.com.my/news/nation/2025/03/07/senior-cop-claims-trial-to-theft-dereliction-of-duty-charges
3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20250307093000,https://www.yahoo.com/news/ukraine-president-hold-talks-south-075749967.html
3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20250307093000,https://www.yahoo.com/news/ukraine-president-hold-talks-south-075749967.html
1,Russia,RS,RS,,60.0,100.0,RS,4,"Johannesburg, Gauteng, South Africa",SF,SF06,77364,-26.2,28.0833,-1240261,20250307093000,https://www.yahoo.com/news/ukraine-president-hold-talks-south-075749967.html
3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,1,Ukraine,UP,UP,,49.0,32.0,UP,20250307093000,https://www.yahoo.com/news/ukraine-president-hold-talks-south-075749967.html
1,Russia,RS,RS,,60.0,100.0,RS,4,"Johannesburg, Gauteng, South Africa",SF,SF06,77364,-26.2,28.0833,-1240261,20250307093000,https://www.yahoo.com/news/ukraine-president-hold-talks-south-075749967.html
1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20250307093000,https://www.yahoo.com/news/ukraine-president-hold-talks-south-075749967.html
0,,,,,,,,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Jabalia, Gaza Strip (general), Gaza Strip",GZ,GZ00,18315,31.5364,34.4945,-797161,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20250307093000,https://www.dailymail.co.uk/news/article-14472255/Hamas-hostages-threat-Donald-Trump-warned-dead.html
4,"Kepong, Malaysia (general), Malaysia",MY,MY00,18585,3.21667,101.633,-2377340,4,"Kepong, Malaysia (general), Malaysia",MY,MY00,18585,3.21667,101.633,-2377340,20250307093000,https://www.thestar.com.my/news/nation/2025/03/07/couple-charged-with-murder-abuse-of-5-year-old-boy
3,"Las Vegas, Nevada, United States",US,USNV,,36.175,-115.137,847388,4,"Tapanui, New Zealand (general), New Zealand",NZ,NZ00,22391,-45.8833,169.4,-1518918,20250307093000,https://www.odt.co.nz/regions/south-otago/superfan-revels-%E2%80%98superlative-city%E2%80%99
0,,,,,,,,4,"Anambra, Nigeria (general), Nigeria",NI,NI00,22911,7.26667,7.4,-1999832,20250307093000,https://allafrica.com/stories/202503070097.html
0,,,,,,,,5,"Otago, Otago, New Zealand",NZ,NZF7,22391,-45.25,169.5,11483306,20250307093000,https://www.odt.co.nz/regions/south-otago/superfan-revels-%E2%80%98superlative-city%E2%80%99
