GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,1,West Bank,WE,WE,,31.666667,35.25,WE,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20250307094500,https://www.thecrimson.com/article/2025/3/7/harvard-protest-discrimination-policies/
4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,1,West Bank,WE,WE,,31.666667,35.25,WE,1,West Bank,WE,WE,,31.666667,35.25,WE,20250307094500,https://www.thecrimson.com/article/2025/3/7/harvard-protest-discrimination-policies/
1,West Bank,WE,WE,,31.666667,35.25,WE,1,West Bank,WE,WE,,31.666667,35.25,WE,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20250307094500,https://www.thecrimson.com/article/2025/3/7/harvard-protest-discrimination-policies/
4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,20250307094500,https://www.clevelandjewishnews.com/jns/judea-and-samaria-arabs-to-ascend-temple-mount-for-ramadan-prayers/article_6caadd52-a102-5797-ac89-b94da8e01ec8.html
4,"Karachi, Sindh, Pakistan",PK,PK05,40398,24.8667,67.05,-2764584,0,,,,,,,,4,"Karachi, Sindh, Pakistan",PK,PK05,40398,24.8667,67.05,-2764584,20250307094500,https://www.dawn.com/news/1204464/cases-against-myself-other-ppp-leaders-discrimination-character-assassination-gilani
4,"Karachi, Sindh, Pakistan",PK,PK05,40398,24.8667,67.05,-2764584,4,"Karachi, Sindh, Pakistan",PK,PK05,40398,24.8667,67.05,-2764584,4,"Karachi, Sindh, Pakistan",PK,PK05,40398,24.8667,67.05,-2764584,20250307094500,https://www.dawn.com/news/1204464/cases-against-myself-other-ppp-leaders-discrimination-character-assassination-gilani
4,"Karachi, Sindh, Pakistan",PK,PK05,40398,24.8667,67.05,-2764584,0,,,,,,,,4,"Karachi, Sindh, Pakistan",PK,PK05,40398,24.8667,67.05,-2764584,20250307094500,https://www.dawn.com/news/1204464/cases-against-myself-other-ppp-leaders-discrimination-character-assassination-gilani
1,Netherlands,NL,NL,,52.5,5.75,NL,4,"Lisbon, Lisboa, Portugal",PO,PO14,24830,38.7167,-9.13333,-2167973,1,Netherlands,NL,NL,,52.5,5.75,NL,20250307094500,https://www.ch-aviation.com/news/151219-air-france-klm-mulls-mirroring-sas-acquisition-model-at-tap
4,"Lisbon, Lisboa, Portugal",PO,PO14,24830,38.7167,-9.13333,-2167973,1,France,FR,FR,,46.0,2.0,FR,1,Netherlands,NL,NL,,52.5,5.75,NL,20250307094500,https://www.ch-aviation.com/news/151219-air-france-klm-mulls-mirroring-sas-acquisition-model-at-tap
4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,20250307094500,https://www.theepochtimes.com/china/thailand-deported-uyghurs-over-china-retaliation-fears-minister-admits-5821079
4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,20250307094500,https://www.theepochtimes.com/china/thailand-deported-uyghurs-over-china-retaliation-fears-minister-admits-5821079
4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,4,"Xinjiang, Jiangxi, China",CH,CH03,13167,27.7481,116.274,11065838,4,"Bangkok, Krung Thep Mahanakhon, Thailand",TH,TH40,26423,13.75,100.517,-3250083,20250307094500,https://www.theepochtimes.com/china/thailand-deported-uyghurs-over-china-retaliation-fears-minister-admits-5821079
0,,,,,,,,4,"Jableh, Al Ladhiqiyah, Syria",SY,SY02,26368,35.3614,35.9256,-2542623,4,"Jableh, Al Ladhiqiyah, Syria",SY,SY02,26368,35.3614,35.9256,-2542623,20250307094500,https://www.yahoo.com/news/syria-authorities-expand-fight-against-092307935.html
0,,,,,,,,4,"Melbourne, Victoria, Australia",AS,AS07,5430,-37.8167,144.967,-1586844,4,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20250307094500,https://www.perthnow.com.au/news/vic/hero-jetstar-passenger-promised-free-flights-from-avalon-following-brave-act-c-17958108
